Particle Name,Energy,Number of Events,Cerenkov Photons per Event,Scintillation Photons per Event,PMT Hits per Event
e-,1 keV,1,178,0,44
proton,1 keV,1,0,0,0
proton,0.5 keV,1,0,0,0
opticalphoton,2.254e-06 keV,10,0,0,0.1
e-,0.1 keV,1,0,0,0
e-,0.1 keV,10,0,0,0
e-,1 keV,1,234,0,66
e-,0.1 keV,1,0,0,0
e-,1 keV,1,92,0,1
e-,1 keV,10,111.9,24.9,97.2
e-,1 keV,10,119.2,22.9,93.7
e-,0.5 keV,1,10,22,26
e-,0.1 keV,1,0,0,0
e-,0.1 keV,10,0,4.9,3.8
e-,0.1 keV,1,0,0,0
e-,0.1 keV,10,0,0,0
e-,0.1 keV,10,0,0,0
e-,1 keV,10,178.5,0,111.3
e-,1 keV,1,100,0,47
e-,1 keV,10,47.3,0,8.8
e-,1 keV,10,45.6,0,12.2
e-,1 keV,10,52.8,0,14.8
e-,1 keV,1,0,0,0
e-,1 keV,1,0,0,0
e-,1 keV,10,43.5,0,14.1
e-,1 keV,1,106,21,95
e-,0.1 keV,1,0,0,0
e-,1 keV,1,82,41,119
e-,50 keV,1,608,12,128
e-,0.1 keV,1,0,0,0
e-,1 keV,1,82,41,119
e-,0.1 keV,1,0,5,4
e-,0.1 keV,1,0,7,5
e-,0.1 keV,1,0,9,6
e-,0.1 keV,1,0,5,5
e-,0.1 keV,1,0,5,2
e-,2.254e-06 keV,10,0,0,0
e-,0.1 keV,10,0,4.2,3.1
e-,0.1 keV,10,0,4.9,3.4
proton,0.1 keV,10,0,0.8,0.4
proton,0.1 keV,1,0,4,3
proton,0.1 keV,10,0,0.5,0.4
gamma,0.1 keV,1,0,0,0
gamma,0.1 keV,10,0,0,0
gamma,0.1 keV,10,0,0,0
gamma,0.1 keV,10,0,0,0
gamma,0.1 keV,10,0,0,0
gamma,0.1 keV,10,0,0,0
gamma,0.1 keV,10,0,0.1,0.1
gamma,1 keV,1,0,0,0
gamma,1 keV,1,0,0,0
gamma,1 keV,1,0,0,0
gamma,1 keV,1,0,0,0
gamma,1 keV,1,0,0,0
gamma,1 keV,1,0,0,0
gamma,1 keV,1,0,0,0
gamma,1 keV,10,0,0,0
gamma,1 keV,10,0,0,0
gamma,1 keV,10,7.1,3.9,8.2
e-,1 keV,1,74,51,95
e-,1 keV,1,76,40,88
e-,1 keV,1,87,53,92
e-,1 keV,1,89,57,111
proton,1 keV,1,0,7,6
proton,1 keV,1,0,5,3
proton,1 keV,1,0,8,7
proton,1 keV,1,0,5,5
proton,1 keV,10,0,7.1,5.6
proton,1 keV,10,0,7.4,6.1
e-,0.1 keV,1,0,0,0
e-,0.1 keV,10,0,0,0
e-,0.1 keV,1,0,0,0
e-,0.1 keV,10,0.2,0,0
e-,0.1 keV,1,0,0,0
e-,0.1 keV,1,0,0,0
e-,1 keV,10,82.9,0,4.3
e-,1 keV,1,94,0,5
e-,1 keV,1,55,0,3
e-,1 keV,1,131,0,11
e-,1 keV,1,62,0,4
e-,0.1 keV,1,0,0,0
e-,0.1 keV,10,0,5.2,3.7
e-,0.1 keV,1,0,0,0
e-,0.1 keV,10,0.1,0,0
e-,1 keV,1,79,1,6
